,0,GardaStation,Green
Salthill,9.0,,
Galway,19.0,,
0,,Bridewell,0.0
1,,Lucan,4.0
2,,Balbriggan,9.0
3,,Pearse Street,3.0
4,,Irishtown,13.0
5,,Fitzgibbon Street,1.0
6,,Coolock,2.0
7,,Blanchardstown,15.0
8,,Skerries,7.0
9,,Lusk,5.0
10,,Cabinteely,35.0
11,,Shankill,10.0
12,,Clontarf,21.0
13,,Store Street,1.0
14,,Donnybrook,5.0
15,,Garristown,0.0
16,,Ballymun,4.0
17,,Airport,0.0
18,,Santry,22.0
19,,Dun Laoghaire,22.0
20,,Cabra,3.0
21,,Kilmainham,3.0
22,,Blackrock,3.0
23,,Sundrive Road,7.0
24,,Swords,26.0
25,,Ballyfermot,4.0
26,,Kevin Street,1.0
27,,Howth,5.0
28,,Mountjoy,4.0
29,,Malahide,4.0
30,,Finglas,10.0
31,,Raheny,4.0
Athleague,1.0,,
Roscommon,3.0,,
Castlerea,1.0,,
Keadue,2.0,,
Boyle,3.0,,
Ballaghaderreen,1.0,,
