,MAINTENANC,DEPARTMENT
1,"Marlfield: Open space at  Marlfield (gable of 52) and Cabinteely Way (gable of 52), also abutting N1",Parks
38,Cabinteely Way (Gable 9 and rear 10 Monaloe Park Rd.),Parks
290,Cabinteely Avenue,Parks
291,Cabinteely Crescent,Parks
483,"Marlfield: Open space at  Marlfield (gable of 52) and Cabinteely Way (gable of 52), also abutting N1",Parks
520,Cabinteely Way (Gable 9 and rear 10 Monaloe Park Rd.),Parks
772,Cabinteely Avenue,Parks
773,Cabinteely Crescent,Parks
314,"Moran Park, Dun Laoghaire",Parks
315,"Beach Gardens, Dun Laoghaire",Parks
796,"Moran Park, Dun Laoghaire",Parks
797,"Beach Gardens, Dun Laoghaire",Parks
