Garda Station,03 Attempts/threats to murder assaults harassments and related offences,04 Dangerous or negligent acts,05 Kidnapping and related offences,06 Robbery extortion and hijacking offences,07 Burglary and related offences,08 Theft and related offences,09 Fraud deception and related offences,10 Controlled drug offences,11 Weapons and Explosives Offences,12 Damage to property and to the environment,13 Public order and other social code offences,15 Offences against government justice procedures and organisation of crime
Salthill,66,52,0,3,104,183,13,74,7,163,168,7
Galway,340,163,3,31,360,1121,110,180,29,471,1562,223
Balbriggan,96,72,0,16,177,510,66,113,22,257,168,45
Ballyfermot,82,91,0,22,250,608,22,327,62,368,420,32
Ballymun,166,51,3,47,142,514,30,230,46,394,338,20
BlackrockCoDublin,58,48,0,13,230,594,96,60,14,181,163,10
Blanchardstown,336,207,2,144,646,2225,164,415,110,970,597,517
BridewellDublin,117,57,1,75,204,708,49,250,72,434,591,3586
Cabinteely,49,34,2,23,207,391,15,59,12,173,126,11
Cabra,90,40,0,33,139,470,39,118,15,292,279,27
Clontarf,53,46,0,82,333,851,41,72,21,265,196,8
Coolock,165,114,0,76,327,932,63,545,94,578,333,40
Donnybrook,45,57,1,19,280,703,44,33,12,192,262,3
Airport,10,10,8,0,0,135,41,41,14,9,71,2
Dun Laoghaire,115,55,0,28,350,977,60,140,24,404,561,250
Finglas,244,90,2,95,294,900,70,424,71,653,432,24
Fitzgibbon Street,147,54,1,120,267,1030,35,134,75,493,279,17
Garristown,5,5,0,1,16,46,3,7,0,18,3,2
Howth,35,34,0,17,126,350,35,53,9,114,130,6
Irishtown,43,25,0,7,239,697,32,49,7,191,193,2
Kevin Street,196,63,1,103,298,983,74,198,75,563,598,25
Kilmainham,194,105,1,91,253,940,47,170,73,482,532,25
Lucan,78,75,1,30,194,750,46,113,19,259,194,10
Lusk,32,49,0,2,79,356,7,40,11,93,70,5
Malahide,71,28,1,14,185,508,38,68,8,206,166,1
Mountjoy,184,49,1,80,324,893,89,157,46,386,357,65
Pearse Street,551,92,1,165,579,4595,271,294,125,585,2851,139
Raheny,46,32,0,36,104,343,31,126,22,201,173,6
Santry,127,106,1,76,267,994,48,108,19,331,310,18
Shankill,65,35,1,21,152,290,20,141,20,226,177,18
Skerries,32,19,0,5,43,143,11,19,5,76,54,3
Store Street,338,76,1,171,276,4648,214,378,145,619,1654,54
Sundrive Road,86,39,0,50,284,343,21,167,28,334,152,9
Swords,127,92,1,32,278,969,68,288,18,319,363,147
Athleague, 3,3,0,0,5,11,1,2,0,2,5,0
Ballaghaderreen, 30,16,0,0,30,59,13,7,5,21,67,3
Boyle, 18,1,0,0,25,62,5,10,0,19,31,1
Castlerea, 33,15,1,0,10,49,5,34,3,21,32,15
Keadue, 2,1,0,1,5,12,0,0,0,2,1,0
Roscommon, 36,30,0,0,39,152,10,22,3,52,87,6
